city,latitude,longitude,date,aqi
Ahmedabad,23.025793,72.587265,2015-01-01,118.0
Ahmedabad,23.025793,72.587265,2015-01-02,118.0
Ahmedabad,23.025793,72.587265,2015-01-03,118.0
Ahmedabad,23.025793,72.587265,2015-01-04,118.0
Ahmedabad,23.025793,72.587265,2015-01-05,118.0
Ahmedabad,23.025793,72.587265,2015-01-06,118.0
Ahmedabad,23.025793,72.587265,2015-01-07,118.0
Ahmedabad,23.025793,72.587265,2015-01-08,118.0
Ahmedabad,23.025793,72.587265,2015-01-09,118.0
Ahmedabad,23.025793,72.587265,2015-01-10,118.0
Ahmedabad,23.025793,72.587265,2015-01-11,118.0
Ahmedabad,23.025793,72.587265,2015-01-12,118.0
Ahmedabad,23.025793,72.587265,2015-01-13,118.0
Ahmedabad,23.025793,72.587265,2015-01-14,118.0
Ahmedabad,23.025793,72.587265,2015-01-15,118.0
Ahmedabad,23.025793,72.587265,2015-01-16,118.0
Ahmedabad,23.025793,72.587265,2015-01-17,118.0
Ahmedabad,23.025793,72.587265,2015-01-18,118.0
Ahmedabad,23.025793,72.587265,2015-01-19,118.0
Ahmedabad,23.025793,72.587265,2015-01-20,118.0
Ahmedabad,23.025793,72.587265,2015-01-21,118.0
Ahmedabad,23.025793,72.587265,2015-01-22,118.0
Ahmedabad,23.025793,72.587265,2015-01-23,118.0
Ahmedabad,23.025793,72.587265,2015-01-24,118.0
Ahmedabad,23.025793,72.587265,2015-01-25,118.0
Ahmedabad,23.025793,72.587265,2015-01-26,118.0
Ahmedabad,23.025793,72.587265,2015-01-27,118.0
Ahmedabad,23.025793,72.587265,2015-01-28,118.0
Ahmedabad,23.025793,72.587265,2015-01-29,209.0
Ahmedabad,23.025793,72.587265,2015-01-30,328.0
Ahmedabad,23.025793,72.587265,2015-01-31,514.0
Ahmedabad,23.025793,72.587265,2015-02-01,782.0
Ahmedabad,23.025793,72.587265,2015-02-02,914.0
Ahmedabad,23.025793,72.587265,2015-02-03,660.0
Ahmedabad,23.025793,72.587265,2015-02-04,294.0
Ahmedabad,23.025793,72.587265,2015-02-05,149.0
Ahmedabad,23.025793,72.587265,2015-02-06,190.0
Ahmedabad,23.025793,72.587265,2015-02-07,247.0
Ahmedabad,23.025793,72.587265,2015-02-08,379.0
Ahmedabad,23.025793,72.587265,2015-02-09,341.0
Ahmedabad,23.025793,72.587265,2015-02-10,256.0
Ahmedabad,23.025793,72.587265,2015-02-11,388.0
Ahmedabad,23.025793,72.587265,2015-02-12,288.0
Ahmedabad,23.025793,72.587265,2015-02-13,510.0
Ahmedabad,23.025793,72.587265,2015-02-14,761.0
Ahmedabad,23.025793,72.587265,2015-02-15,475.0
Ahmedabad,23.025793,72.587265,2015-02-16,536.0
Ahmedabad,23.025793,72.587265,2015-02-17,479.0
Ahmedabad,23.025793,72.587265,2015-02-18,592.0
Ahmedabad,23.025793,72.587265,2015-02-19,427.0
Ahmedabad,23.025793,72.587265,2015-02-20,588.0
Ahmedabad,23.025793,72.587265,2015-02-21,1141.0
Ahmedabad,23.025793,72.587265,2015-02-22,669.0
Ahmedabad,23.025793,72.587265,2015-02-23,1247.0
Ahmedabad,23.025793,72.587265,2015-02-24,411.0
Ahmedabad,23.025793,72.587265,2015-02-25,292.0
Ahmedabad,23.025793,72.587265,2015-02-26,118.0
Ahmedabad,23.025793,72.587265,2015-02-27,118.0
Ahmedabad,23.025793,72.587265,2015-02-28,118.0
Ahmedabad,23.025793,72.587265,2015-03-01,118.0
Ahmedabad,23.025793,72.587265,2015-03-02,189.0
Ahmedabad,23.025793,72.587265,2015-03-03,408.0
Ahmedabad,23.025793,72.587265,2015-03-04,383.0
Ahmedabad,23.025793,72.587265,2015-03-05,780.0
Ahmedabad,23.025793,72.587265,2015-03-06,118.0
Ahmedabad,23.025793,72.587265,2015-03-07,118.0
Ahmedabad,23.025793,72.587265,2015-03-08,190.0
Ahmedabad,23.025793,72.587265,2015-03-09,233.0
Ahmedabad,23.025793,72.587265,2015-03-10,297.0
Ahmedabad,23.025793,72.587265,2015-03-11,330.0
Ahmedabad,23.025793,72.587265,2015-03-12,252.0
Ahmedabad,23.025793,72.587265,2015-03-13,244.0
Ahmedabad,23.025793,72.587265,2015-03-14,234.0
Ahmedabad,23.025793,72.587265,2015-03-15,219.0
Ahmedabad,23.025793,72.587265,2015-03-16,118.0
Ahmedabad,23.025793,72.587265,2015-03-17,231.0
Ahmedabad,23.025793,72.587265,2015-03-18,286.0
Ahmedabad,23.025793,72.587265,2015-03-19,883.0
Ahmedabad,23.025793,72.587265,2015-03-20,720.0
