city,latitude,longitude,date,pm2_5
Ahmedabad,23.025793,72.587265,2015-01-01,48.57
Ahmedabad,23.025793,72.587265,2015-01-02,48.57
Ahmedabad,23.025793,72.587265,2015-01-03,48.57
Ahmedabad,23.025793,72.587265,2015-01-04,48.57
Ahmedabad,23.025793,72.587265,2015-01-05,48.57
Ahmedabad,23.025793,72.587265,2015-01-06,48.57
Ahmedabad,23.025793,72.587265,2015-01-07,48.57
Ahmedabad,23.025793,72.587265,2015-01-08,48.57
Ahmedabad,23.025793,72.587265,2015-01-09,48.57
Ahmedabad,23.025793,72.587265,2015-01-10,48.57
Ahmedabad,23.025793,72.587265,2015-01-11,48.57
Ahmedabad,23.025793,72.587265,2015-01-12,48.57
Ahmedabad,23.025793,72.587265,2015-01-13,48.57
Ahmedabad,23.025793,72.587265,2015-01-14,48.57
Ahmedabad,23.025793,72.587265,2015-01-15,48.57
Ahmedabad,23.025793,72.587265,2015-01-16,48.57
Ahmedabad,23.025793,72.587265,2015-01-17,48.57
Ahmedabad,23.025793,72.587265,2015-01-18,48.57
Ahmedabad,23.025793,72.587265,2015-01-19,48.57
Ahmedabad,23.025793,72.587265,2015-01-20,48.57
Ahmedabad,23.025793,72.587265,2015-01-21,48.57
Ahmedabad,23.025793,72.587265,2015-01-22,48.57
Ahmedabad,23.025793,72.587265,2015-01-23,48.57
Ahmedabad,23.025793,72.587265,2015-01-24,48.57
Ahmedabad,23.025793,72.587265,2015-01-25,48.57
Ahmedabad,23.025793,72.587265,2015-01-26,48.57
Ahmedabad,23.025793,72.587265,2015-01-27,48.57
Ahmedabad,23.025793,72.587265,2015-01-28,73.24
Ahmedabad,23.025793,72.587265,2015-01-29,83.13
Ahmedabad,23.025793,72.587265,2015-01-30,79.84
Ahmedabad,23.025793,72.587265,2015-01-31,94.52
Ahmedabad,23.025793,72.587265,2015-02-01,135.99
Ahmedabad,23.025793,72.587265,2015-02-02,178.33
Ahmedabad,23.025793,72.587265,2015-02-03,139.7
Ahmedabad,23.025793,72.587265,2015-02-04,80.65
Ahmedabad,23.025793,72.587265,2015-02-05,58.36
Ahmedabad,23.025793,72.587265,2015-02-06,79.29
Ahmedabad,23.025793,72.587265,2015-02-07,88.7
Ahmedabad,23.025793,72.587265,2015-02-08,74.28
Ahmedabad,23.025793,72.587265,2015-02-09,113.93
Ahmedabad,23.025793,72.587265,2015-02-10,105.39
Ahmedabad,23.025793,72.587265,2015-02-11,66.52
Ahmedabad,23.025793,72.587265,2015-02-12,65.04
Ahmedabad,23.025793,72.587265,2015-02-13,103.36
