city,latitude,longitude,date,pm10
Ahmedabad,23.025793,72.587265,2015-01-01,95.68
Ahmedabad,23.025793,72.587265,2015-01-02,95.68
Ahmedabad,23.025793,72.587265,2015-01-03,95.68
Ahmedabad,23.025793,72.587265,2015-01-04,95.68
Ahmedabad,23.025793,72.587265,2015-01-05,95.68
Ahmedabad,23.025793,72.587265,2015-01-06,95.68
Ahmedabad,23.025793,72.587265,2015-01-07,95.68
Ahmedabad,23.025793,72.587265,2015-01-08,95.68
Ahmedabad,23.025793,72.587265,2015-01-09,95.68
Ahmedabad,23.025793,72.587265,2015-01-10,95.68
Ahmedabad,23.025793,72.587265,2015-01-11,95.68
Ahmedabad,23.025793,72.587265,2015-01-12,95.68
Ahmedabad,23.025793,72.587265,2015-01-13,95.68
Ahmedabad,23.025793,72.587265,2015-01-14,95.68
Ahmedabad,23.025793,72.587265,2015-01-15,95.68
Ahmedabad,23.025793,72.587265,2015-01-16,95.68
Ahmedabad,23.025793,72.587265,2015-01-17,95.68
Ahmedabad,23.025793,72.587265,2015-01-18,95.68
Ahmedabad,23.025793,72.587265,2015-01-19,95.68
Ahmedabad,23.025793,72.587265,2015-01-20,95.68
Ahmedabad,23.025793,72.587265,2015-01-21,95.68
Ahmedabad,23.025793,72.587265,2015-01-22,95.68
Ahmedabad,23.025793,72.587265,2015-01-23,95.68
Ahmedabad,23.025793,72.587265,2015-01-24,95.68
Ahmedabad,23.025793,72.587265,2015-01-25,95.68
Ahmedabad,23.025793,72.587265,2015-01-26,95.68
Ahmedabad,23.025793,72.587265,2015-01-27,95.68
Ahmedabad,23.025793,72.587265,2015-01-28,95.68
Ahmedabad,23.025793,72.587265,2015-01-29,95.68
Ahmedabad,23.025793,72.587265,2015-01-30,95.68
Ahmedabad,23.025793,72.587265,2015-01-31,95.68
Ahmedabad,23.025793,72.587265,2015-02-01,95.68
Ahmedabad,23.025793,72.587265,2015-02-02,95.68
Ahmedabad,23.025793,72.587265,2015-02-03,95.68
Ahmedabad,23.025793,72.587265,2015-02-04,95.68
Ahmedabad,23.025793,72.587265,2015-02-05,95.68
Ahmedabad,23.025793,72.587265,2015-02-06,95.68
Ahmedabad,23.025793,72.587265,2015-02-07,95.68
Ahmedabad,23.025793,72.587265,2015-02-08,95.68
Ahmedabad,23.025793,72.587265,2015-02-09,95.68
Ahmedabad,23.025793,72.587265,2015-02-10,95.68
Ahmedabad,23.025793,72.587265,2015-02-11,95.68
Ahmedabad,23.025793,72.587265,2015-02-12,95.68
Ahmedabad,23.025793,72.587265,2015-02-13,95.68
Ahmedabad,23.025793,72.587265,2015-02-14,95.68
Ahmedabad,23.025793,72.587265,2015-02-15,95.68
Ahmedabad,23.025793,72.587265,2015-02-16,95.68
Ahmedabad,23.025793,72.587265,2015-02-17,95.68
Ahmedabad,23.025793,72.587265,2015-02-18,95.68
Ahmedabad,23.025793,72.587265,2015-02-19,95.68
Ahmedabad,23.025793,72.587265,2015-02-20,95.68
Ahmedabad,23.025793,72.587265,2015-02-21,95.68
Ahmedabad,23.025793,72.587265,2015-02-22,95.68
Ahmedabad,23.025793,72.587265,2015-02-23,95.68
Ahmedabad,23.025793,72.587265,2015-02-24,95.68
Ahmedabad,23.025793,72.587265,2015-02-25,95.68
Ahmedabad,23.025793,72.587265,2015-02-26,95.68
Ahmedabad,23.025793,72.587265,2015-02-27,95.68
Ahmedabad,23.025793,72.587265,2015-02-28,95.68
Ahmedabad,23.025793,72.587265,2015-03-01,95.68
Ahmedabad,23.025793,72.587265,2015-03-02,95.68
Ahmedabad,23.025793,72.587265,2015-03-03,95.68
Ahmedabad,23.025793,72.587265,2015-03-04,95.68
Ahmedabad,23.025793,72.587265,2015-03-05,95.68
Ahmedabad,23.025793,72.587265,2015-03-06,95.68
Ahmedabad,23.025793,72.587265,2015-03-07,95.68
Ahmedabad,23.025793,72.587265,2015-03-08,95.68
Ahmedabad,23.025793,72.587265,2015-03-09,95.68
Ahmedabad,23.025793,72.587265,2015-03-10,95.68
Ahmedabad,23.025793,72.587265,2015-03-11,95.68
Ahmedabad,23.025793,72.587265,2015-03-12,95.68
Ahmedabad,23.025793,72.587265,2015-03-13,95.68
Ahmedabad,23.025793,72.587265,2015-03-14,95.68
Ahmedabad,23.025793,72.587265,2015-03-15,95.68
Ahmedabad,23.025793,72.587265,2015-03-16,95.68
Ahmedabad,23.025793,72.587265,2015-03-17,95.68
Ahmedabad,23.025793,72.587265,2015-03-18,95.68
Ahmedabad,23.025793,72.587265,2015-03-19,95.68
Ahmedabad,23.025793,72.587265,2015-03-20,95.68
Ahmedabad,23.025793,72.587265,2015-03-21,95.68
Ahmedabad,23.025793,72.587265,2015-03-22,95.68
Ahmedabad,23.025793,72.587265,2015-03-23,95.68
Ahmedabad,23.025793,72.587265,2015-03-24,95.68
Ahmedabad,23.025793,72.587265,2015-03-25,95.68
Ahmedabad,23.025793,72.587265,2015-03-26,95.68
Ahmedabad,23.025793,72.587265,2015-03-27,95.68
Ahmedabad,23.025793,72.587265,2015-03-28,95.68
Ahmedabad,23.025793,72.587265,2015-03-29,95.68
Ahmedabad,23.025793,72.587265,2015-03-30,95.68
